starID,regionName,System Name,Star,power
40016798,Vale of the Silent,Z-8Q65,Sun K7 (Orange),550
40016865,Vale of the Silent,0J3L-V,Sun O1 (Bright Blue),1000
40016910,Vale of the Silent,H-NOU5,Sun M0 (Orange radiant),500
40016972,Vale of the Silent,KX-2UI,Sun K5 (Orange Bright),620
40017009,Vale of the Silent,MO-FIF,Sun K5 (Orange Bright),620
40017029,Vale of the Silent,97-M96,Sun K5 (Red Giant),580
40017092,Vale of the Silent,MA-XAP,Sun M0 (Orange radiant),500
40017160,Vale of the Silent,C-J7CR,Sun K3 (Yellow Small),650
40017209,Vale of the Silent,Q-EHMJ,Sun K7 (Orange),550
40017277,Vale of the Silent,XSQ-TF,Sun G5 (Yellow),680
40017406,Vale of the Silent,H-1EOH,Sun K3 (Yellow Small),650
40017425,Vale of the Silent,IR-DYY,Sun K3 (Yellow Small),650
40017454,Vale of the Silent,C-DHON,Sun K7 (Orange),550
40017494,Vale of the Silent,F-D49D,Sun O1 (Bright Blue),1000
40017559,Vale of the Silent,MQ-O27,Sun B5 (White Dwarf),820
40017599,Vale of the Silent,H-EY0P,Sun K5 (Orange Bright),620
40017618,Vale of the Silent,UNAG-6,Sun O1 (Bright Blue),1000
40017706,Vale of the Silent,E-SCTX,Sun M0 (Orange radiant),500
40017826,Vale of the Silent,S6QX-N,Sun K7 (Orange),550
40017914,Vale of the Silent,IT-YAU,Sun K3 (Yellow Small),650
40017966,Vale of the Silent,1VK-6B,Sun K3 (Yellow Small),650
40017977,Vale of the Silent,7-PO3P,Sun M0 (Orange radiant),500
40018062,Vale of the Silent,1W-0KS,Sun G5 (Pink),700
40018138,Vale of the Silent,669-IX,Sun M0 (Orange radiant),500
40018189,Vale of the Silent,0R-F2F,Sun K5 (Red Giant),580
40018209,Vale of the Silent,R-P7KL,Sun M0 (Orange radiant),500
40018298,Vale of the Silent,2DWM-2,Sun K5 (Orange Bright),620
40018357,Vale of the Silent,XF-PWO,Sun G5 (Yellow),680
40018414,Vale of the Silent,1N-FJ8,Sun K7 (Orange),550
40018498,Vale of the Silent,VI2K-J,Sun A0 (Blue Small),850
40018593,Vale of the Silent,ZLZ-1Z,Sun M0 (Orange radiant),500
40018697,Vale of the Silent,6Y-WRK,Sun M0 (Orange radiant),500
40018742,Vale of the Silent,RVCZ-C,Sun K5 (Orange Bright),620
40018783,Vale of the Silent,5T-KM3,Sun B0 (Blue),900
40018836,Vale of the Silent,LS9B-9,Sun G5 (Pink),700
40018922,Vale of the Silent,1-GBBP,Sun G5 (Yellow),680
40018950,Vale of the Silent,C-FP70,Sun G5 (Pink),700
40019036,Vale of the Silent,T-ZWA1,Sun O1 (Bright Blue),1000
40019104,Vale of the Silent,ZA0L-U,Sun K3 (Yellow Small),650
40019182,Vale of the Silent,G96R-F,Sun K5 (Orange Bright),620
40019235,Vale of the Silent,Y-ZXIO,Sun K5 (Red Giant),580
40019300,Vale of the Silent,B-E3KQ,Sun G5 (Yellow),680
40019382,Vale of the Silent,Y5J-EU,Sun K3 (Yellow Small),650
40019404,Vale of the Silent,O-LR1H,Sun K5 (Red Giant),580
40019453,Vale of the Silent,G5ED-Y,Sun K3 (Yellow Small),650
40019526,Vale of the Silent,BR-6XP,Sun K5 (Orange Bright),620
40019609,Vale of the Silent,8-TFDX,Sun K3 (Yellow Small),650
40019632,Vale of the Silent,UL-4ZW,Sun K3 (Yellow Small),650
40019661,Vale of the Silent,A-QRQT,Sun K7 (Orange),550
40019745,Vale of the Silent,WMBZ-U,Sun K3 (Yellow Small),650
40019794,Vale of the Silent,PX5-LR,Sun G5 (Yellow),680
40019901,Vale of the Silent,A3-RQ3,Sun K3 (Yellow Small),650
40019927,Vale of the Silent,9-GBPD,Sun M0 (Orange radiant),500
40020012,Vale of the Silent,LS-JEP,Sun K5 (Orange Bright),620
40020085,Vale of the Silent,R-RSZZ,Sun B5 (White Dwarf),820
40020187,Vale of the Silent,MGAM-4,Sun K5 (Orange Bright),620
40020205,Vale of the Silent,VORM-W,Sun K3 (Yellow Small),650
40020258,Vale of the Silent,7G-H7D,Sun G5 (Pink),700
40020345,Vale of the Silent,Q3-BAY,Sun K7 (Orange),550
40020418,Vale of the Silent,JZV-F4,Sun B0 (Blue),900
40026924,Detorid,WU-FHQ,Sun K5 (Orange Bright),620
40026983,Detorid,V-4DBR,Sun K3 (Yellow Small),650
40027016,Detorid,B-5UFY,Sun K5 (Red Giant),580
40027047,Detorid,SK42-F,Sun G3 (Pink Small),740
40027101,Detorid,EU9-J3,Sun K7 (Orange),550
40027201,Detorid,PQRE-W,Sun G3 (Pink Small),740
40027287,Detorid,OEG-K9,Sun M0 (Orange radiant),500
40027369,Detorid,0-W778,Sun K5 (Orange Bright),620
40027410,Detorid,DG-8VJ,Sun F0 (White),780
40027511,Detorid,5J4K-9,Sun K5 (Red Giant),580
40027574,Detorid,MD-0AW,Sun G3 (Pink Small),740
40027684,Detorid,H-FGJO,Sun K3 (Yellow Small),650
40027760,Detorid,1KAW-T,Sun K5 (Red Giant),580
40027775,Detorid,C5-SUU,Sun K5 (Red Giant),580
40027846,Detorid,XSUD-1,Sun K3 (Yellow Small),650
40027919,Detorid,3-LJW3,Sun G5 (Yellow),680
40027951,Detorid,ZLO3-V,Sun G5 (Yellow),680
40028090,Detorid,P7MI-T,Sun M0 (Orange radiant),500
40028137,Detorid,JFV-ID,Sun G5 (Yellow),680
40028197,Detorid,3-3EZB,Sun G5 (Yellow),680
40028274,Detorid,52CW-6,Sun K3 (Yellow Small),650
40028338,Detorid,9-OUGJ,Sun M0 (Orange radiant),500
40028414,Detorid,4NDT-W,Sun K3 (Yellow Small),650
40028479,Detorid,GR-X26,Sun K7 (Orange),550
40028538,Detorid,6OU9-U,Sun F0 (White),780
40028664,Detorid,9N-0HF,Sun K3 (Yellow Small),650
40028680,Detorid,U-OVFR,Sun G5 (Pink),700
40028770,Detorid,G3D-ZT,Sun A0 (Blue Small),850
40028824,Detorid,D-0UI0,Sun M0 (Orange radiant),500
40028894,Detorid,L8-WNE,Sun G5 (Yellow),680
40028983,Detorid,1-GBVE,Sun K5 (Orange Bright),620
40029004,Detorid,GC-LTF,Sun O1 (Bright Blue),1000
40029023,Detorid,NB-ALM,Sun G3 (Pink Small),740
40029039,Detorid,LT-XI4,Sun G5 (Pink),700
40029062,Detorid,L-QQ6P,Sun K5 (Red Giant),580
40029127,Detorid,5OJ-G2,Sun F0 (White),780
40029203,Detorid,9-02G0,Sun G5 (Pink),700
40029309,Detorid,XA5-TY,Sun K3 (Yellow Small),650
40029349,Detorid,M-XUZZ,Sun K3 (Yellow Small),650
40029373,Detorid,OFVH-Y,Sun M0 (Orange radiant),500
40029445,Detorid,2-X0PF,Sun K5 (Red Giant),580
40029525,Detorid,1-PGSG,Sun K5 (Red Giant),580
40029620,Detorid,QLPX-J,Sun M0 (Orange radiant),500
40029662,Detorid,A-C5TC,Sun K5 (Red Giant),580
40029699,Detorid,RZ-PIY,Sun K7 (Orange),550
40029799,Detorid,FR46-E,Sun G3 (Pink Small),740
40029825,Detorid,SLVP-D,Sun K3 (Yellow Small),650
40029888,Detorid,0-G8NO,Sun B5 (White Dwarf),820
40029964,Detorid,QRFJ-Q,Sun K5 (Red Giant),580
40029981,Detorid,HZFJ-M,Sun G5 (Pink),700
40030085,Detorid,77S8-E,Sun G3 (Pink Small),740
40030164,Detorid,FMH-OV,Sun M0 (Orange radiant),500
40030276,Detorid,TYB-69,Sun K5 (Red Giant),580
40030309,Detorid,EDQG-L,Sun K3 (Yellow Small),650
40030374,Detorid,7-P1JO,Sun K3 (Yellow Small),650
40030440,Detorid,T-0JWP,Sun K3 (Yellow Small),650
40030544,Detorid,J-L9MA,Sun K7 (Orange),550
40030598,Detorid,DX-TAR,Sun K5 (Red Giant),580
40030652,Detorid,A-7XFN,Sun K3 (Yellow Small),650
40030702,Detorid,O3-4MN,Sun B0 (Blue),900
40030786,Detorid,U-MFTL,Sun K5 (Orange Bright),620
40030828,Detorid,8FN-GP,Sun M0 (Orange radiant),500
40030892,Detorid,FIDY-8,Sun K7 (Orange),550
40030958,Detorid,X40H-9,Sun K5 (Orange Bright),620
40031044,Detorid,F2W-C6,Sun K5 (Orange Bright),620
40031063,Detorid,KZ9T-C,Sun B0 (Blue),900
40031149,Detorid,XW2H-V,Sun K7 (Orange),550
40031170,Detorid,F9O-U9,Sun M0 (Orange radiant),500
40031233,Detorid,S-51XG,Sun K7 (Orange),550
40031273,Detorid,E-1XVP,Sun K7 (Orange),550
40031338,Detorid,E-ACV6,Sun M0 (Orange radiant),500
40031426,Detorid,BOZ1-O,Sun K5 (Red Giant),580
40031473,Detorid,QIMO-2,Sun G3 (Pink Small),740
40031572,Detorid,Z-2Y2Y,Sun A0 (Blue Small),850
40031633,Detorid,Q0J-RH,Sun K3 (Yellow Small),650
40031707,Detorid,SAI-T9,Sun K5 (Red Giant),580
40031800,Detorid,IAS-I5,Sun M0 (Orange radiant),500
40031840,Detorid,K7S-FF,Sun G5 (Yellow),680
40031929,Detorid,RT-9WL,Sun M0 (Orange radiant),500
40032011,Detorid,O5Q7-U,Sun A0 (Blue Small),850
40032125,Detorid,62O-UE,Sun G5 (Pink),700
40032208,Detorid,U0W-DR,Sun G5 (Yellow),680
40032227,Detorid,SY-UWN,Sun A0 (Blue Small),850
40032289,Detorid,DX-DFJ,Sun K5 (Red Giant),580
40032316,Detorid,X-31TE,Sun K7 (Orange),550
40032375,Detorid,DVWV-3,Sun M0 (Orange radiant),500
40032421,Detorid,KE-0FB,Sun K5 (Orange Bright),620
40032489,Detorid,I-9GI1,Sun G5 (Yellow),680
40032562,Detorid,W6P-7U,Sun K3 (Yellow Small),650
40032580,Detorid,0IF-26,Sun B0 (Blue),900
40032632,Detorid,H-93YV,Sun B0 (Blue),900
40032699,Detorid,E51-JE,Sun G5 (Yellow),680
40032771,Detorid,7-A6XV,Sun K3 (Yellow Small),650
40032871,Detorid,QXE-1N,Sun F0 (White),780
40032924,Detorid,U69-YC,Sun K5 (Orange Bright),620
40033028,Detorid,L-L7PE,Sun M0 (Orange radiant),500
40033093,Wicked Creek,MKIG-5,Sun G5 (Yellow),680
40033125,Wicked Creek,YHEN-G,Sun G5 (Yellow),680
40033166,Wicked Creek,E-JCUS,Sun K7 (Orange),550
40033247,Wicked Creek,W-QN5X,Sun G3 (Pink Small),740
40033278,Wicked Creek,LP1M-Q,Sun G5 (Pink),700
40033304,Wicked Creek,30-YOU,Sun G5 (Pink),700
40033336,Wicked Creek,384-IN,Sun K5 (Red Giant),580
40033385,Wicked Creek,4F89-U,Sun M0 (Orange radiant),500
40033434,Wicked Creek,G063-U,Sun K3 (Yellow Small),650
40033490,Wicked Creek,J7-BDX,Sun K5 (Red Giant),580
40033563,Wicked Creek,MLQ-O9,Sun M0 (Orange radiant),500
40033635,Wicked Creek,L-FM3P,Sun G5 (Pink),700
40033727,Wicked Creek,X-ARMF,Sun G3 (Pink Small),740
40033852,Wicked Creek,8-OZU1,Sun K7 (Orange),550
40033881,Wicked Creek,0TYR-T,Sun M0 (Orange radiant),500
40033989,Wicked Creek,GM-50Y,Sun K7 (Orange),550
40034076,Wicked Creek,G9L-LP,Sun K5 (Orange Bright),620
40034109,Wicked Creek,MWA-5Q,Sun B0 (Blue),900
40034158,Wicked Creek,H-HHTH,Sun M0 (Orange radiant),500
40034226,Wicked Creek,JQU-KY,Sun G5 (Yellow),680
40034268,Wicked Creek,UY5A-D,Sun G5 (Yellow),680
40034396,Wicked Creek,C-62I5,Sun K5 (Orange Bright),620
40034426,Wicked Creek,ZH-GKG,Sun K7 (Orange),550
40034483,Wicked Creek,GPLB-C,Sun G5 (Yellow),680
40034555,Wicked Creek,GGE-5Q,Sun K5 (Red Giant),580
40034621,Wicked Creek,5E-CMA,Sun B0 (Blue),900
40034637,Wicked Creek,U104-3,Sun A0 (Blue Small),850
40034746,Wicked Creek,M3-KAQ,Sun M0 (Orange radiant),500
40034794,Wicked Creek,6-L4YC,Sun M0 (Orange radiant),500
40034888,Wicked Creek,UM-SCG,Sun G5 (Yellow),680
40034965,Wicked Creek,F-3FOY,Sun K3 (Yellow Small),650
40034998,Wicked Creek,OAIG-0,Sun K3 (Yellow Small),650
40035059,Wicked Creek,UZ-QXW,Sun G5 (Pink),700
40035156,Wicked Creek,5DE-QS,Sun M0 (Orange radiant),500
40035246,Wicked Creek,R0-DMM,Sun G5 (Yellow),680
40035332,Wicked Creek,5Q65-4,Sun G5 (Pink),700
40035434,Wicked Creek,SR-4EK,Sun G5 (Yellow),680
40035497,Wicked Creek,0RI-OV,Sun G5 (Pink),700
40035547,Wicked Creek,C-LTXS,Sun G5 (Yellow),680
40035576,Wicked Creek,C0O6-K,Sun K7 (Orange),550
40035638,Wicked Creek,HD-AJ7,Sun M0 (Orange radiant),500
40035703,Wicked Creek,G9NE-B,Sun M0 (Orange radiant),500
40035774,Wicked Creek,SJJ-4F,Sun K7 (Orange),550
40035815,Wicked Creek,F-QQ5N,Sun M0 (Orange radiant),500
40035867,Wicked Creek,1-7B6D,Sun K5 (Red Giant),580
40035902,Wicked Creek,H6-EYX,Sun G5 (Yellow),680
40036007,Wicked Creek,U-HVIX,Sun G3 (Pink Small),740
40036023,Wicked Creek,4-EFLU,Sun M0 (Orange radiant),500
40036101,Wicked Creek,EIH-IU,Sun B5 (White Dwarf),820
40036158,Wicked Creek,F-EM4Q,Sun M0 (Orange radiant),500
40036229,Wicked Creek,1L-OEK,Sun G5 (Yellow),680
40036292,Wicked Creek,MN-Q26,Sun G3 (Pink Small),740
40036361,Wicked Creek,5H-SM2,Sun K3 (Yellow Small),650
40036479,Wicked Creek,4-OS2A,Sun M0 (Orange radiant),500
40036528,Wicked Creek,YI-GV6,Sun K5 (Orange Bright),620
40036543,Wicked Creek,SO-X5L,Sun K3 (Yellow Small),650
40036654,Wicked Creek,XQS-GZ,Sun G5 (Pink),700
40036704,Wicked Creek,Q-GQHN,Sun K7 (Orange),550
40036745,Wicked Creek,A-4JOO,Sun K3 (Yellow Small),650
40036760,Wicked Creek,TP7-KE,Sun G5 (Yellow),680
40036845,Wicked Creek,R4N-LD,Sun K3 (Yellow Small),650
40036866,Wicked Creek,3Q-VZA,Sun G5 (Pink),700
40036891,Wicked Creek,M-MBRT,Sun B0 (Blue),900
40036971,Wicked Creek,HPBE-D,Sun K3 (Yellow Small),650
40037004,Wicked Creek,GRHS-B,Sun G3 (Pink Small),740
40037106,Wicked Creek,J-RXYN,Sun G3 (Pink Small),740
40037126,Wicked Creek,DUO-51,Sun K7 (Orange),550
40037199,Wicked Creek,07-SLO,Sun M0 (Orange radiant),500
40037299,Wicked Creek,Z-A8FS,Sun M0 (Orange radiant),500
40037361,Wicked Creek,GPD5-0,Sun K7 (Orange),550
40037421,Wicked Creek,LKZ-CY,Sun G5 (Yellow),680
40037491,Wicked Creek,F5M-CC,Sun K5 (Red Giant),580
40037594,Wicked Creek,TZE-UB,Sun K3 (Yellow Small),650
40037630,Wicked Creek,WRL4-2,Sun K7 (Orange),550
40037683,Wicked Creek,V7G-RL,Sun M0 (Orange radiant),500
40037739,Wicked Creek,XEN7-0,Sun K3 (Yellow Small),650
40037796,Wicked Creek,L-Z9KJ,Sun G5 (Yellow),680
40037922,Wicked Creek,7K-NSE,Sun G5 (Yellow),680
40037948,Wicked Creek,OR-7N5,Sun M0 (Orange radiant),500
40038000,Wicked Creek,JEQG-7,Sun B5 (White Dwarf),820
40038065,Wicked Creek,5NQI-E,Sun G3 (Pink Small),740
40038141,Wicked Creek,B-WQDP,Sun G5 (Yellow),680
40038200,Cache,2-2EWC,Sun K5 (Orange Bright),620
40038311,Cache,E1W-TB,Sun M0 (Orange radiant),500
40038410,Cache,D-6H64,Sun K3 (Yellow Small),650
40038453,Cache,8-BIE3,Sun G5 (Yellow),680
40038507,Cache,LMM7-L,Sun F0 (White),780
40038559,Cache,995-3G,Sun M0 (Orange radiant),500
40038643,Cache,W2T-TR,Sun M0 (Orange radiant),500
40038686,Cache,Q-UEN6,Sun M0 (Orange radiant),500
40038742,Cache,BLMX-B,Sun K3 (Yellow Small),650
40038825,Cache,M-CNUD,Sun G5 (Pink),700
40038907,Cache,YE1-9S,Sun O1 (Bright Blue),1000
40038991,Cache,IVP-KA,Sun K5 (Orange Bright),620
40039034,Cache,04EI-U,Sun M0 (Orange radiant),500
40039150,Cache,B-T6BT,Sun G5 (Pink),700
40039167,Cache,VK-A5G,Sun K5 (Orange Bright),620
40039255,Cache,I6-SYN,Sun K7 (Orange),550
40039304,Cache,O-5TN1,Sun K7 (Orange),550
40039366,Cache,8-SPNN,Sun K5 (Orange Bright),620
40039471,Cache,U-QMOA,Sun K5 (Red Giant),580
40039526,Cache,4S0-NP,Sun A0 (Blue Small),850
40039621,Cache,K-RMI5,Sun K7 (Orange),550
40039676,Cache,C-6YHJ,Sun K5 (Red Giant),580
40039739,Cache,M53-1V,Sun G3 (Pink Small),740
40039831,Cache,E5T-CS,Sun K3 (Yellow Small),650
40039881,Cache,W4C8-Q,Sun K7 (Orange),550
40039945,Cache,I-2705,Sun A0 (Blue Small),850
40039979,Cache,5F-MG1,Sun M0 (Orange radiant),500
40040058,Cache,P7-45V,Sun K5 (Red Giant),580
40040106,Cache,M-MCP8,Sun K3 (Yellow Small),650
40040122,Cache,JZ-B5Y,Sun G5 (Pink),700
40040211,Cache,TPG-DD,Sun G5 (Yellow),680
40040241,Cache,NIF-JE,Sun K7 (Orange),550
40040294,Cache,BTLH-I,Sun K5 (Orange Bright),620
40040341,Cache,U93O-A,Sun K5 (Red Giant),580
40040410,Cache,0LY-W1,Sun M0 (Orange radiant),500
40040452,Cache,4YO-QK,Sun K3 (Yellow Small),650
40040519,Cache,LJ-RJK,Sun K3 (Yellow Small),650
40040606,Cache,8-VC6H,Sun K7 (Orange),550
40040689,Cache,LQ-01M,Sun G5 (Yellow),680
40040782,Cache,NG-M8K,Sun F0 (White),780
40040885,Cache,RV5-TT,Sun G5 (Yellow),680
40040939,Cache,8OYE-Z,Sun K3 (Yellow Small),650
40041024,Cache,K85Y-6,Sun G5 (Yellow),680
40041102,Cache,PKN-NJ,Sun K3 (Yellow Small),650
40041188,Scalding Pass,EIN-QG,Sun M0 (Orange radiant),500
40041293,Scalding Pass,ARG-3R,Sun G3 (Pink Small),740
40041367,Scalding Pass,S-E6ES,Sun K7 (Orange),550
40041437,Scalding Pass,R-3FBU,Sun G5 (Pink),700
40041546,Scalding Pass,K7-LDX,Sun G5 (Yellow),680
40041569,Scalding Pass,U-IVGH,Sun G3 (Pink Small),740
40041641,Scalding Pass,P-N5N9,Sun K3 (Yellow Small),650
40041662,Scalding Pass,JMH-PT,Sun G5 (Pink),700
40041711,Scalding Pass,DE-A7P,Sun K5 (Orange Bright),620
40041753,Scalding Pass,X9V-15,Sun K7 (Orange),550
40041857,Scalding Pass,K212-A,Sun K7 (Orange),550
40041911,Scalding Pass,F-5FDA,Sun A0 (Blue Small),850
40041976,Scalding Pass,S1-XTL,Sun M0 (Orange radiant),500
40042054,Scalding Pass,9PX2-F,Sun K5 (Red Giant),580
40042151,Scalding Pass,N3-JBX,Sun G5 (Pink),700
40042236,Scalding Pass,SG-75T,Sun M0 (Orange radiant),500
40042283,Scalding Pass,GN-PDU,Sun K3 (Yellow Small),650
40042350,Scalding Pass,AZ3F-N,Sun O1 (Bright Blue),1000
40042398,Scalding Pass,RNM-Y6,Sun K3 (Yellow Small),650
40042485,Scalding Pass,V-KDY2,Sun K7 (Orange),550
40042532,Scalding Pass,FYD-TO,Sun F0 (White),780
40042639,Scalding Pass,ER2O-Y,Sun K5 (Red Giant),580
40042684,Scalding Pass,J2-PZ6,Sun M0 (Orange radiant),500
40042780,Scalding Pass,XV-MWG,Sun G5 (Yellow),680
40042861,Scalding Pass,OAQY-M,Sun K7 (Orange),550
40042995,Scalding Pass,1V-LI2,Sun K5 (Orange Bright),620
40043007,Scalding Pass,M9-MLR,Sun K3 (Yellow Small),650
40043036,Scalding Pass,Q-K2T7,Sun M0 (Orange radiant),500
40043129,Scalding Pass,LBC-AW,Sun K7 (Orange),550
40043176,Scalding Pass,2-KPW6,Sun M0 (Orange radiant),500
40043252,Scalding Pass,H5N-V7,Sun G3 (Pink Small),740
40043305,Scalding Pass,HQ-Q1Q,Sun K3 (Yellow Small),650
40043334,Scalding Pass,WHI-61,Sun M0 (Orange radiant),500
40043439,Scalding Pass,ZFJH-T,Sun G3 (Pink Small),740
40043491,Scalding Pass,I-1B7X,Sun M0 (Orange radiant),500
40043611,Scalding Pass,G15Z-W,Sun M0 (Orange radiant),500
40043692,Scalding Pass,AH8-Q7,Sun B0 (Blue),900
40043776,Scalding Pass,SD4A-2,Sun G5 (Pink),700
40043823,Scalding Pass,U6K-RG,Sun K5 (Red Giant),580
40043853,Scalding Pass,V-S9YY,Sun G5 (Pink),700
40043945,Scalding Pass,F2-NXA,Sun K3 (Yellow Small),650
40043974,Scalding Pass,NSBE-L,Sun M0 (Orange radiant),500
40044008,Scalding Pass,8Q-T7B,Sun O1 (Bright Blue),1000
40044053,Scalding Pass,WV0D-1,Sun F0 (White),780
40044114,Scalding Pass,ZNF-OK,Sun K3 (Yellow Small),650
40044168,Scalding Pass,C8-7AS,Sun K3 (Yellow Small),650
40044246,Scalding Pass,4E-EZS,Sun K5 (Orange Bright),620
40044302,Scalding Pass,A-80UA,Sun F0 (White),780
40044343,Scalding Pass,U2-28D,Sun K3 (Yellow Small),650
40044398,Scalding Pass,LQ-OAI,Sun M0 (Orange radiant),500
40044448,Scalding Pass,5-MQQ7,Sun B5 (White Dwarf),820
40044498,Scalding Pass,6-EQYE,Sun K5 (Orange Bright),620
40044546,Scalding Pass,03-OR2,Sun K7 (Orange),550
40044589,Scalding Pass,JLO-Z3,Sun M0 (Orange radiant),500
40044647,Scalding Pass,IAK-JW,Sun K7 (Orange),550
40044728,Scalding Pass,KZFV-4,Sun M0 (Orange radiant),500
40044787,Scalding Pass,WO-GC0,Sun G5 (Yellow),680
40044860,Scalding Pass,RYC-19,Sun G5 (Yellow),680
40044897,Scalding Pass,X2-ZA5,Sun B5 (White Dwarf),820
40044965,Scalding Pass,28Y9-P,Sun K7 (Orange),550
40045007,Scalding Pass,Q4C-S5,Sun K7 (Orange),550
40045114,Scalding Pass,B-1UJC,Sun M0 (Orange radiant),500
40045179,Scalding Pass,Q-NA5H,Sun K3 (Yellow Small),650
40045234,Scalding Pass,4-CM8I,Sun G3 (Pink Small),740
40045320,Scalding Pass,ZDB-HT,Sun G5 (Yellow),680
40045384,Scalding Pass,1QZ-Y9,Sun M0 (Orange radiant),500
40045451,Scalding Pass,HJ-BCH,Sun G5 (Yellow),680
40045509,Scalding Pass,QPTT-F,Sun K7 (Orange),550
40045610,Scalding Pass,9M-M0P,Sun B5 (White Dwarf),820
40045700,Scalding Pass,9BC-EB,Sun K3 (Yellow Small),650
40045737,Scalding Pass,WFFE-4,Sun G5 (Pink),700
40045761,Scalding Pass,71-UTX,Sun K3 (Yellow Small),650
40045778,Scalding Pass,PU-UMM,Sun G5 (Yellow),680
40045805,Scalding Pass,6-KPAB,Sun G5 (Pink),700
40045874,Scalding Pass,Y5-E1U,Sun K7 (Orange),550
40045969,Scalding Pass,4-43BW,Sun K5 (Orange Bright),620
40046039,Scalding Pass,8CN-CH,Sun K7 (Orange),550
40046076,Scalding Pass,V-F6DQ,Sun M0 (Orange radiant),500
40046165,Scalding Pass,3S-6VU,Sun M0 (Orange radiant),500
40046242,Scalding Pass,1-7HVI,Sun K5 (Orange Bright),620
40046258,Scalding Pass,OX-S7P,Sun G5 (Pink),700
40046336,Insmother,KDG-TA,Sun K5 (Orange Bright),620
