planetID,Region Name,System Name,Planet Name,Power,Workforce,Superionic Ice / Hour,Magmatic Gas / Hour
40013491,Vale of the Silent,NCGR-Q,NCGR-Q III,0,1460,0,0
40013530,Vale of the Silent,NCGR-Q,NCGR-Q VI,0,0,39,0
40013494,Vale of the Silent,NCGR-Q,NCGR-Q IV,340,0,0,0
40013489,Vale of the Silent,NCGR-Q,NCGR-Q II,600,0,0,0
40013592,Vale of the Silent,G-LOIT,G-LOIT IV,270,0,0,0
40013634,Vale of the Silent,G-LOIT,G-LOIT VI,0,9760,0,0
40013565,Vale of the Silent,G-LOIT,G-LOIT II,0,0,0,1018
40013613,Vale of the Silent,G-LOIT,G-LOIT V,120,0,0,0
40013637,Vale of the Silent,G-LOIT,G-LOIT VII,210,0,0,0
40013644,Vale of the Silent,G-LOIT,G-LOIT VIII,0,0,38,0
40013567,Vale of the Silent,G-LOIT,G-LOIT III,470,0,0,0
40013563,Vale of the Silent,G-LOIT,G-LOIT I,900,0,0,0
40013738,Vale of the Silent,HE-V4V,HE-V4V X,390,0,0,0
40013683,Vale of the Silent,HE-V4V,HE-V4V III,0,7950,0,0
40013690,Vale of the Silent,HE-V4V,HE-V4V VI,0,9940,0,0
40013708,Vale of the Silent,HE-V4V,HE-V4V VIII,390,0,0,0
40013679,Vale of the Silent,HE-V4V,HE-V4V I,610,0,0,0
40013680,Vale of the Silent,HE-V4V,HE-V4V II,0,3210,0,0
40013773,Vale of the Silent,HE-V4V,HE-V4V XI,0,0,33,0
40013685,Vale of the Silent,HE-V4V,HE-V4V IV,0,6650,0,0
40013687,Vale of the Silent,HE-V4V,HE-V4V V,0,0,0,790
40013725,Vale of the Silent,HE-V4V,HE-V4V IX,190,0,0,0
40013693,Vale of the Silent,HE-V4V,HE-V4V VII,300,0,0,0
40013802,Vale of the Silent,N-HSK0,N-HSK0 VI,510,0,0,0
40013796,Vale of the Silent,N-HSK0,N-HSK0 IV,840,0,0,0
40013808,Vale of the Silent,N-HSK0,N-HSK0 VII,0,4820,0,0
40013792,Vale of the Silent,N-HSK0,N-HSK0 III,0,9080,0,0
40013789,Vale of the Silent,N-HSK0,N-HSK0 I,0,3770,0,0
40013790,Vale of the Silent,N-HSK0,N-HSK0 II,0,1770,0,0
40013798,Vale of the Silent,N-HSK0,N-HSK0 V,500,0,0,0
40013816,Vale of the Silent,05R-7A,05R-7A II,0,0,0,852
40013823,Vale of the Silent,05R-7A,05R-7A V,0,0,0,697
40013815,Vale of the Silent,05R-7A,05R-7A I,0,3690,0,0
40013841,Vale of the Silent,05R-7A,05R-7A X,0,5760,0,0
40013817,Vale of the Silent,05R-7A,05R-7A III,0,0,0,986
40013819,Vale of the Silent,05R-7A,05R-7A IV,0,0,0,724
40013827,Vale of the Silent,05R-7A,05R-7A VI,660,0,0,0
40013838,Vale of the Silent,05R-7A,05R-7A IX,0,1650,0,0
40013830,Vale of the Silent,05R-7A,05R-7A VII,210,0,0,0
40013833,Vale of the Silent,05R-7A,05R-7A VIII,220,0,0,0
40013935,Vale of the Silent,7-UH4Z,7-UH4Z IX,0,3930,0,0
40013877,Vale of the Silent,7-UH4Z,7-UH4Z VII,350,0,0,0
40013856,Vale of the Silent,7-UH4Z,7-UH4Z VI,140,0,0,0
40013852,Vale of the Silent,7-UH4Z,7-UH4Z IV,0,3540,0,0
40013845,Vale of the Silent,7-UH4Z,7-UH4Z I,0,3770,0,0
40013847,Vale of the Silent,7-UH4Z,7-UH4Z II,0,2860,0,0
40013897,Vale of the Silent,7-UH4Z,7-UH4Z VIII,0,0,37,0
40013850,Vale of the Silent,7-UH4Z,7-UH4Z III,0,6190,0,0
40013854,Vale of the Silent,7-UH4Z,7-UH4Z V,0,0,0,744
40013950,Vale of the Silent,5ZO-NZ,5ZO-NZ VI,0,10130,0,0
40013945,Vale of the Silent,5ZO-NZ,5ZO-NZ III,0,3660,0,0
40013946,Vale of the Silent,5ZO-NZ,5ZO-NZ IV,0,1620,0,0
40013954,Vale of the Silent,5ZO-NZ,5ZO-NZ VII,320,0,0,0
40013996,Vale of the Silent,5ZO-NZ,5ZO-NZ IX,0,0,39,0
40013942,Vale of the Silent,5ZO-NZ,5ZO-NZ II,0,5050,0,0
40013948,Vale of the Silent,5ZO-NZ,5ZO-NZ V,0,8850,0,0
40013940,Vale of the Silent,5ZO-NZ,5ZO-NZ I,0,0,0,1007
40013975,Vale of the Silent,5ZO-NZ,5ZO-NZ VIII,290,0,0,0
40014034,Vale of the Silent,FS-RFL,FS-RFL VII,160,0,0,0
40014005,Vale of the Silent,FS-RFL,FS-RFL IV,0,3740,0,0
40014058,Vale of the Silent,FS-RFL,FS-RFL VIII,0,1820,0,0
40014012,Vale of the Silent,FS-RFL,FS-RFL VI,160,0,0,0
40014002,Vale of the Silent,FS-RFL,FS-RFL II,0,2990,0,0
40014004,Vale of the Silent,FS-RFL,FS-RFL III,0,0,0,930
40014008,Vale of the Silent,FS-RFL,FS-RFL V,460,0,0,0
40014001,Vale of the Silent,FS-RFL,FS-RFL I,0,0,0,818
40014064,Vale of the Silent,Y0-BVN,Y0-BVN I,0,4630,0,0
40014106,Vale of the Silent,Y0-BVN,Y0-BVN IX,250,0,0,0
40014078,Vale of the Silent,Y0-BVN,Y0-BVN VII,650,0,0,0
40014072,Vale of the Silent,Y0-BVN,Y0-BVN V,0,4860,0,0
40014081,Vale of the Silent,Y0-BVN,Y0-BVN VIII,260,0,0,0
40014068,Vale of the Silent,Y0-BVN,Y0-BVN III,930,0,0,0
40014074,Vale of the Silent,Y0-BVN,Y0-BVN VI,0,5200,0,0
40014070,Vale of the Silent,Y0-BVN,Y0-BVN IV,0,0,0,937
40014066,Vale of the Silent,Y0-BVN,Y0-BVN II,0,3470,0,0
40014148,Vale of the Silent,X97D-W,X97D-W IV,370,0,0,0
40014171,Vale of the Silent,X97D-W,X97D-W VI,220,0,0,0
40014126,Vale of the Silent,X97D-W,X97D-W II,0,0,0,655
40014131,Vale of the Silent,X97D-W,X97D-W III,150,0,0,0
40014199,Vale of the Silent,X97D-W,X97D-W VII,0,3150,0,0
40014124,Vale of the Silent,X97D-W,X97D-W I,0,4550,0,0
40014168,Vale of the Silent,X97D-W,X97D-W V,0,8320,0,0
40014220,Vale of the Silent,0-R5TS,0-R5TS IV,390,0,0,0
40014212,Vale of the Silent,0-R5TS,0-R5TS III,460,0,0,0
40014280,Vale of the Silent,0-R5TS,0-R5TS VII,0,2400,0,0
40014277,Vale of the Silent,0-R5TS,0-R5TS VI,0,4490,0,0
40014206,Vale of the Silent,0-R5TS,0-R5TS II,450,0,0,0
40014241,Vale of the Silent,0-R5TS,0-R5TS V,150,0,0,0
40014204,Vale of the Silent,0-R5TS,0-R5TS I,0,0,0,852
40014318,Vale of the Silent,H-UCD1,H-UCD1 V,0,0,33,0
40014291,Vale of the Silent,H-UCD1,H-UCD1 IV,430,0,0,0
40014286,Vale of the Silent,H-UCD1,H-UCD1 II,0,4340,0,0
40014328,Vale of the Silent,H-UCD1,H-UCD1 VI,0,4370,0,0
40014289,Vale of the Silent,H-UCD1,H-UCD1 III,0,3960,0,0
40014284,Vale of the Silent,H-UCD1,H-UCD1 I,0,2540,0,0
40014331,Vale of the Silent,7-K5EL,7-K5EL I,870,0,0,0
40014377,Vale of the Silent,7-K5EL,7-K5EL V,200,0,0,0
40014418,Vale of the Silent,7-K5EL,7-K5EL VII,0,3990,0,0
40014401,Vale of the Silent,7-K5EL,7-K5EL VI,0,0,35,0
40014335,Vale of the Silent,7-K5EL,7-K5EL III,360,0,0,0
40014333,Vale of the Silent,7-K5EL,7-K5EL II,0,0,0,1061
40014358,Vale of the Silent,7-K5EL,7-K5EL IV,440,0,0,0
40014420,Vale of the Silent,H-5GUI,H-5GUI I,0,1510,0,0
40014476,Vale of the Silent,H-5GUI,H-5GUI VII,260,0,0,0
40014422,Vale of the Silent,H-5GUI,H-5GUI II,0,9680,0,0
40014425,Vale of the Silent,H-5GUI,H-5GUI IV,0,4230,0,0
40014496,Vale of the Silent,H-5GUI,H-5GUI VIII,0,0,36,0
40014424,Vale of the Silent,H-5GUI,H-5GUI III,0,2720,0,0
40014448,Vale of the Silent,H-5GUI,H-5GUI VI,200,0,0,0
40014428,Vale of the Silent,H-5GUI,H-5GUI V,440,0,0,0
40014499,Vale of the Silent,H-5GUI,H-5GUI IX,660,0,0,0
40014514,Vale of the Silent,FH-TTC,FH-TTC V,420,0,0,0
40014534,Vale of the Silent,FH-TTC,FH-TTC VII,0,0,40,0
40014518,Vale of the Silent,FH-TTC,FH-TTC VI,190,0,0,0
40014508,Vale of the Silent,FH-TTC,FH-TTC III,0,8110,0,0
40014506,Vale of the Silent,FH-TTC,FH-TTC I,0,0,0,817
40014511,Vale of the Silent,FH-TTC,FH-TTC IV,0,7660,0,0
40014507,Vale of the Silent,FH-TTC,FH-TTC II,0,1600,0,0
40014579,Vale of the Silent,FMBR-8,FMBR-8 V,370,0,0,0
40014575,Vale of the Silent,FMBR-8,FMBR-8 III,0,0,0,720
40014628,Vale of the Silent,FMBR-8,FMBR-8 IX,220,0,0,0
40014576,Vale of the Silent,FMBR-8,FMBR-8 IV,0,9470,0,0
40014571,Vale of the Silent,FMBR-8,FMBR-8 I,0,3110,0,0
40014638,Vale of the Silent,FMBR-8,FMBR-8 X,0,6540,0,0
40014612,Vale of the Silent,FMBR-8,FMBR-8 VII,410,0,0,0
40014593,Vale of the Silent,FMBR-8,FMBR-8 VI,160,0,0,0
40014573,Vale of the Silent,FMBR-8,FMBR-8 II,950,0,0,0
40014623,Vale of the Silent,FMBR-8,FMBR-8 VIII,180,0,0,0
40014656,Vale of the Silent,3HX-DL,3HX-DL VI,160,0,0,0
40014677,Vale of the Silent,3HX-DL,3HX-DL VIII,0,4370,0,0
40014652,Vale of the Silent,3HX-DL,3HX-DL V,0,8890,0,0
40014642,Vale of the Silent,3HX-DL,3HX-DL II,980,0,0,0
40014641,Vale of the Silent,3HX-DL,3HX-DL I,0,4520,0,0
40014671,Vale of the Silent,3HX-DL,3HX-DL VII,340,0,0,0
40014649,Vale of the Silent,3HX-DL,3HX-DL IV,0,1370,0,0
40014645,Vale of the Silent,3HX-DL,3HX-DL III,0,0,0,786
40014688,Vale of the Silent,UH-9ZG,UH-9ZG IV,0,2910,0,0
40014682,Vale of the Silent,UH-9ZG,UH-9ZG I,0,5320,0,0
40014684,Vale of the Silent,UH-9ZG,UH-9ZG II,0,1420,0,0
40014687,Vale of the Silent,UH-9ZG,UH-9ZG III,0,6070,0,0
40014691,Vale of the Silent,UH-9ZG,UH-9ZG V,0,8170,0,0
40014695,Vale of the Silent,UH-9ZG,UH-9ZG VI,0,9060,0,0
40014702,Vale of the Silent,NFM-0V,NFM-0V II,0,2720,0,0
40014727,Vale of the Silent,NFM-0V,NFM-0V VII,280,0,0,0
40014705,Vale of the Silent,NFM-0V,NFM-0V IV,550,0,0,0
40014748,Vale of the Silent,NFM-0V,NFM-0V VIII,0,0,33,0
40014704,Vale of the Silent,NFM-0V,NFM-0V III,0,1890,0,0
40014710,Vale of the Silent,NFM-0V,NFM-0V VI,350,0,0,0
40014701,Vale of the Silent,NFM-0V,NFM-0V I,0,4580,0,0
40014707,Vale of the Silent,NFM-0V,NFM-0V V,0,7780,0,0
40014756,Vale of the Silent,YXIB-I,YXIB-I I,0,3310,0,0
40014842,Vale of the Silent,YXIB-I,YXIB-I IX,0,3180,0,0
40014762,Vale of the Silent,YXIB-I,YXIB-I III,130,0,0,0
40014834,Vale of the Silent,YXIB-I,YXIB-I VIII,0,0,40,0
40014821,Vale of the Silent,YXIB-I,YXIB-I VI,280,0,0,0
40014832,Vale of the Silent,YXIB-I,YXIB-I VII,510,0,0,0
40014798,Vale of the Silent,YXIB-I,YXIB-I V,190,0,0,0
40014758,Vale of the Silent,YXIB-I,YXIB-I II,0,0,0,922
40014780,Vale of the Silent,YXIB-I,YXIB-I IV,220,0,0,0
40014853,Vale of the Silent,MY-T2P,MY-T2P VI,440,0,0,0
40014848,Vale of the Silent,MY-T2P,MY-T2P IV,0,1980,0,0
40014847,Vale of the Silent,MY-T2P,MY-T2P III,0,0,0,636
40014901,Vale of the Silent,MY-T2P,MY-T2P IX,0,0,38,0
40014846,Vale of the Silent,MY-T2P,MY-T2P II,0,2570,0,0
40014897,Vale of the Silent,MY-T2P,MY-T2P VIII,0,2730,0,0
40014845,Vale of the Silent,MY-T2P,MY-T2P I,0,1530,0,0
40014874,Vale of the Silent,MY-T2P,MY-T2P VII,520,0,0,0
40014851,Vale of the Silent,MY-T2P,MY-T2P V,650,0,0,0
40014907,Vale of the Silent,FA-DMO,FA-DMO II,0,1560,0,0
40014923,Vale of the Silent,FA-DMO,FA-DMO VIII,350,0,0,0
40014952,Vale of the Silent,FA-DMO,FA-DMO X,370,0,0,0
40015005,Vale of the Silent,FA-DMO,FA-DMO XIII,0,6470,0,0
40014920,Vale of the Silent,FA-DMO,FA-DMO VII,0,4320,0,0
40014911,Vale of the Silent,FA-DMO,FA-DMO IV,0,8490,0,0
40014972,Vale of the Silent,FA-DMO,FA-DMO XI,520,0,0,0
40015001,Vale of the Silent,FA-DMO,FA-DMO XII,0,0,40,0
40014917,Vale of the Silent,FA-DMO,FA-DMO VI,0,2630,0,0
40014914,Vale of the Silent,FA-DMO,FA-DMO V,0,9150,0,0
40014909,Vale of the Silent,FA-DMO,FA-DMO III,670,0,0,0
40014928,Vale of the Silent,FA-DMO,FA-DMO IX,140,0,0,0
40014905,Vale of the Silent,FA-DMO,FA-DMO I,0,0,0,1041
40015013,Vale of the Silent,GEKJ-9,GEKJ-9 III,410,0,0,0
40015087,Vale of the Silent,GEKJ-9,GEKJ-9 VII,0,4760,0,0
40015010,Vale of the Silent,GEKJ-9,GEKJ-9 I,0,1960,0,0
40015011,Vale of the Silent,GEKJ-9,GEKJ-9 II,0,0,0,773
40015054,Vale of the Silent,GEKJ-9,GEKJ-9 V,240,0,0,0
40015080,Vale of the Silent,GEKJ-9,GEKJ-9 VI,560,0,0,0
40015030,Vale of the Silent,GEKJ-9,GEKJ-9 IV,100,0,0,0
40015097,Vale of the Silent,Q-R3GP,Q-R3GP III,0,3860,0,0
40015098,Vale of the Silent,Q-R3GP,Q-R3GP IV,0,0,0,801
40015130,Vale of the Silent,Q-R3GP,Q-R3GP X,160,0,0,0
40015095,Vale of the Silent,Q-R3GP,Q-R3GP II,0,0,0,975
40015156,Vale of the Silent,Q-R3GP,Q-R3GP XI,0,0,33,0
40015106,Vale of the Silent,Q-R3GP,Q-R3GP VII,360,0,0,0
40015103,Vale of the Silent,Q-R3GP,Q-R3GP VI,0,0,0,1050
40015122,Vale of the Silent,Q-R3GP,Q-R3GP VIII,420,0,0,0
40015127,Vale of the Silent,Q-R3GP,Q-R3GP IX,0,1700,0,0
40015100,Vale of the Silent,Q-R3GP,Q-R3GP V,0,8340,0,0
40015093,Vale of the Silent,Q-R3GP,Q-R3GP I,0,1670,0,0
40015172,Vale of the Silent,N-5QPW,N-5QPW VI,0,8390,0,0
40015163,Vale of the Silent,N-5QPW,N-5QPW II,0,1830,0,0
40015192,Vale of the Silent,N-5QPW,N-5QPW VIII,460,0,0,0
40015162,Vale of the Silent,N-5QPW,N-5QPW I,0,2540,0,0
40015168,Vale of the Silent,N-5QPW,N-5QPW V,0,6930,0,0
40015166,Vale of the Silent,N-5QPW,N-5QPW IV,0,4340,0,0
40015164,Vale of the Silent,N-5QPW,N-5QPW III,600,0,0,0
40015217,Vale of the Silent,N-5QPW,N-5QPW IX,0,4510,0,0
40015175,Vale of the Silent,N-5QPW,N-5QPW VII,500,0,0,0
40015283,Vale of the Silent,XV-8JQ,XV-8JQ VII,0,0,31,0
40015260,Vale of the Silent,XV-8JQ,XV-8JQ VI,460,0,0,0
40015231,Vale of the Silent,XV-8JQ,XV-8JQ V,230,0,0,0
40015223,Vale of the Silent,XV-8JQ,XV-8JQ II,0,0,0,1008
40015226,Vale of the Silent,XV-8JQ,XV-8JQ III,0,2510,0,0
40015228,Vale of the Silent,XV-8JQ,XV-8JQ IV,0,9970,0,0
40015222,Vale of the Silent,XV-8JQ,XV-8JQ I,0,0,0,912
40015304,Vale of the Silent,WBR5-R,WBR5-R V,380,0,0,0
40015291,Vale of the Silent,WBR5-R,WBR5-R I,0,1060,0,0
40015300,Vale of the Silent,WBR5-R,WBR5-R IV,0,9730,0,0
40015296,Vale of the Silent,WBR5-R,WBR5-R III,140,0,0,0
40015293,Vale of the Silent,WBR5-R,WBR5-R II,670,0,0,0
40015311,Vale of the Silent,4GYV-Q,4GYV-Q III,0,0,0,1003
40015310,Vale of the Silent,4GYV-Q,4GYV-Q II,0,3250,0,0
40015319,Vale of the Silent,4GYV-Q,4GYV-Q VII,0,1170,0,0
40015339,Vale of the Silent,4GYV-Q,4GYV-Q XI,280,0,0,0
40015325,Vale of the Silent,4GYV-Q,4GYV-Q IX,340,0,0,0
40015309,Vale of the Silent,4GYV-Q,4GYV-Q I,0,0,0,731
40015334,Vale of the Silent,4GYV-Q,4GYV-Q X,0,9670,0,0
40015358,Vale of the Silent,4GYV-Q,4GYV-Q XII,0,9110,0,0
40015322,Vale of the Silent,4GYV-Q,4GYV-Q VIII,0,4070,0,0
40015317,Vale of the Silent,4GYV-Q,4GYV-Q VI,0,9570,0,0
40015315,Vale of the Silent,4GYV-Q,4GYV-Q V,0,0,0,1049
40015313,Vale of the Silent,4GYV-Q,4GYV-Q IV,0,1700,0,0
40015366,Vale of the Silent,4-HWWF,4-HWWF III,0,8010,0,0
40015368,Vale of the Silent,4-HWWF,4-HWWF IV,460,0,0,0
40015426,Vale of the Silent,4-HWWF,4-HWWF VII,0,0,40,0
40015364,Vale of the Silent,4-HWWF,4-HWWF II,0,4910,0,0
40015381,Vale of the Silent,4-HWWF,4-HWWF V,430,0,0,0
40015403,Vale of the Silent,4-HWWF,4-HWWF VI,150,0,0,0
40015363,Vale of the Silent,4-HWWF,4-HWWF I,0,3310,0,0
40015480,Vale of the Silent,YMJG-4,YMJG-4 VII,0,2780,0,0
40015476,Vale of the Silent,YMJG-4,YMJG-4 VI,0,1990,0,0
40015457,Vale of the Silent,YMJG-4,YMJG-4 I,540,0,0,0
40015459,Vale of the Silent,YMJG-4,YMJG-4 II,630,0,0,0
40015483,Vale of the Silent,YMJG-4,YMJG-4 VIII,0,5700,0,0
40015463,Vale of the Silent,YMJG-4,YMJG-4 IV,0,9450,0,0
40015461,Vale of the Silent,YMJG-4,YMJG-4 III,0,4260,0,0
40015466,Vale of the Silent,YMJG-4,YMJG-4 V,110,0,0,0
40015492,Vale of the Silent,8TPX-N,8TPX-N IV,0,8780,0,0
40015522,Vale of the Silent,8TPX-N,8TPX-N VIII,330,0,0,0
40015494,Vale of the Silent,8TPX-N,8TPX-N V,0,8850,0,0
40015487,Vale of the Silent,8TPX-N,8TPX-N I,0,0,0,833
40015500,Vale of the Silent,8TPX-N,8TPX-N VII,390,0,0,0
40015497,Vale of the Silent,8TPX-N,8TPX-N VI,0,2630,0,0
40015488,Vale of the Silent,8TPX-N,8TPX-N II,0,3610,0,0
40015490,Vale of the Silent,8TPX-N,8TPX-N III,0,0,0,698
40015534,Vale of the Silent,PM-DWE,PM-DWE IV,0,9760,0,0
40015533,Vale of the Silent,PM-DWE,PM-DWE III,0,6540,0,0
40015535,Vale of the Silent,PM-DWE,PM-DWE V,0,8140,0,0
40015545,Vale of the Silent,PM-DWE,PM-DWE VIII,110,0,0,0
40015541,Vale of the Silent,PM-DWE,PM-DWE VII,0,8020,0,0
40015538,Vale of the Silent,PM-DWE,PM-DWE VI,0,8960,0,0
40015530,Vale of the Silent,PM-DWE,PM-DWE I,0,4930,0,0
40015532,Vale of the Silent,PM-DWE,PM-DWE II,0,2970,0,0
40015552,Vale of the Silent,K8X-6B,K8X-6B II,0,1180,0,0
40015554,Vale of the Silent,K8X-6B,K8X-6B III,270,0,0,0
40015597,Vale of the Silent,K8X-6B,K8X-6B VI,360,0,0,0
40015568,Vale of the Silent,K8X-6B,K8X-6B IV,300,0,0,0
40015550,Vale of the Silent,K8X-6B,K8X-6B I,0,4340,0,0
40015624,Vale of the Silent,K8X-6B,K8X-6B VII,0,2920,0,0
40015577,Vale of the Silent,K8X-6B,K8X-6B V,480,0,0,0
40015630,Vale of the Silent,X445-5,X445-5 I,0,0,0,707
40015632,Vale of the Silent,X445-5,X445-5 III,900,0,0,0
40015636,Vale of the Silent,X445-5,X445-5 V,0,1250,0,0
40015634,Vale of the Silent,X445-5,X445-5 IV,0,0,0,974
40015643,Vale of the Silent,X445-5,X445-5 VIII,0,5540,0,0
40015639,Vale of the Silent,X445-5,X445-5 VI,0,9830,0,0
40015646,Vale of the Silent,X445-5,X445-5 IX,520,0,0,0
40015641,Vale of the Silent,X445-5,X445-5 VII,0,2370,0,0
40015631,Vale of the Silent,X445-5,X445-5 II,0,0,0,806
40015731,Vale of the Silent,KRUN-N,KRUN-N IX,0,2010,0,0
40015655,Vale of the Silent,KRUN-N,KRUN-N III,840,0,0,0
40015651,Vale of the Silent,KRUN-N,KRUN-N I,0,2770,0,0
40015653,Vale of the Silent,KRUN-N,KRUN-N II,0,0,0,1014
40015680,Vale of the Silent,KRUN-N,KRUN-N VII,180,0,0,0
40015665,Vale of the Silent,KRUN-N,KRUN-N VI,310,0,0,0
40015701,Vale of the Silent,KRUN-N,KRUN-N VIII,440,0,0,0
40015659,Vale of the Silent,KRUN-N,KRUN-N IV,700,0,0,0
40015662,Vale of the Silent,KRUN-N,KRUN-N V,0,2260,0,0
40015749,Vale of the Silent,9OO-LH,9OO-LH VI,0,4870,0,0
40015738,Vale of the Silent,9OO-LH,9OO-LH II,0,4360,0,0
40015753,Vale of the Silent,9OO-LH,9OO-LH VII,450,0,0,0
40015740,Vale of the Silent,9OO-LH,9OO-LH III,0,3240,0,0
40015736,Vale of the Silent,9OO-LH,9OO-LH I,0,0,0,1015
40015759,Vale of the Silent,9OO-LH,9OO-LH VIII,400,0,0,0
40015743,Vale of the Silent,9OO-LH,9OO-LH IV,0,8210,0,0
40015745,Vale of the Silent,9OO-LH,9OO-LH V,670,0,0,0
40015836,Vale of the Silent,V-OJEN,V-OJEN X,540,0,0,0
40015790,Vale of the Silent,V-OJEN,V-OJEN V,410,0,0,0
40015815,Vale of the Silent,V-OJEN,V-OJEN VII,0,0,38,0
40015768,Vale of the Silent,V-OJEN,V-OJEN II,0,0,0,967
40015770,Vale of the Silent,V-OJEN,V-OJEN III,0,7900,0,0
40015766,Vale of the Silent,V-OJEN,V-OJEN I,0,1730,0,0
40015820,Vale of the Silent,V-OJEN,V-OJEN VIII,0,0,40,0
40015796,Vale of the Silent,V-OJEN,V-OJEN VI,140,0,0,0
40015772,Vale of the Silent,V-OJEN,V-OJEN IV,200,0,0,0
40015831,Vale of the Silent,V-OJEN,V-OJEN IX,0,1770,0,0
40015855,Vale of the Silent,EIDI-N,EIDI-N VIII,0,5300,0,0
40015847,Vale of the Silent,EIDI-N,EIDI-N V,890,0,0,0
40015843,Vale of the Silent,EIDI-N,EIDI-N III,0,0,0,700
40015841,Vale of the Silent,EIDI-N,EIDI-N II,0,4090,0,0
40015848,Vale of the Silent,EIDI-N,EIDI-N VI,0,0,0,715
40015840,Vale of the Silent,EIDI-N,EIDI-N I,0,0,0,1030
40015851,Vale of the Silent,EIDI-N,EIDI-N VII,0,0,0,646
40015844,Vale of the Silent,EIDI-N,EIDI-N IV,0,6070,0,0
40015863,Vale of the Silent,P3EN-E,P3EN-E IV,0,4560,0,0
40015860,Vale of the Silent,P3EN-E,P3EN-E I,0,0,0,818
40015862,Vale of the Silent,P3EN-E,P3EN-E III,0,4880,0,0
40015867,Vale of the Silent,P3EN-E,P3EN-E VI,0,1550,0,0
40015881,Vale of the Silent,P3EN-E,P3EN-E X,260,0,0,0
40015872,Vale of the Silent,P3EN-E,P3EN-E VIII,0,3860,0,0
40015861,Vale of the Silent,P3EN-E,P3EN-E II,0,2990,0,0
40015870,Vale of the Silent,P3EN-E,P3EN-E VII,0,4260,0,0
40015876,Vale of the Silent,P3EN-E,P3EN-E IX,330,0,0,0
40015865,Vale of the Silent,P3EN-E,P3EN-E V,0,3470,0,0
40015930,Vale of the Silent,49-0LI,49-0LI VII,0,1230,0,0
40015918,Vale of the Silent,49-0LI,49-0LI IV,0,7530,0,0
40015921,Vale of the Silent,49-0LI,49-0LI V,440,0,0,0
40015927,Vale of the Silent,49-0LI,49-0LI VI,630,0,0,0
40015917,Vale of the Silent,49-0LI,49-0LI III,0,3520,0,0
